URUN_REFNO|ADI|KATEGORI_REFNO|ALT_KATEGORI_REFNO|TEDARIKCI_REFNO|KDVSIZ_SATIS_FIYATI|KDVSIZ_ALIS_FIYATI|SATIS_KDV_ORANI|ALIS_KDV_ORANI|BARKODU|BIRIM1|BIRIM2|
246|MAXTOR 200GB 7200 8 MB SATA|1|1|2|141,57|0,0000|0|0|8692212121|ADET||
247|MAXTOR 250GB 7200 8MB|1|1|2|217,8|0,0000|0|0|8692212121|ADET||
248|SILVER100|1|1|2|399,3|0,0000|0|0|8692212121|ADET||
249|SILVER200|1|1|2|417,45|0,0000|0|0|8692212121|ADET||
250|SILVER300|1|1|2|435,6|0,0000|0|0|8692212121|ADET||
251|SILVER400|1|1|2|465,85|0,0000|0|0|8692212121|ADET||
252|SILVER500|1|1|2|453,75|0,0000|0|0|8692212121|ADET||
253|SILVER600|1|1|2|484|0,0000|0|0|8692212121|ADET||
254|GOLD100|1|1|2|520,3|0,0000|0|0|8692212121|ADET||
255|GOLD200|1|1|2|562,65|0,0000|0|0|8692212121|ADET||
256|GOLD300|1|1|2|580,8|0,0000|0|0|8692212121|ADET||
257|GOLD400|1|1|2|605|0,0000|0|0|8692212121|ADET||
258|GOLD500|1|1|2|635,25|0,0000|0|0|8692212121|ADET||
259|GOLD600|1|1|2|653,4|0,0000|0|0|8692212121|ADET||
260|PLATINIUM100|1|1|2|665,5|0,0000|0|0|8692212121|ADET||
261|PLATINIUM200|1|1|2|689,7|0,0000|0|0|8692212121|ADET||
262|PLATINIUM300|1|1|2|750,2|0,0000|0|0|8692212121|ADET||
263|PLATINIUM400|1|1|2|786,5|0,0000|0|0|8692212121|ADET||
264|PLATINIUM500|1|1|2|816,75|0,0000|0|0|8692212121|ADET||
265|PLATINIUM600|1|1|2|834,9|0,0000|0|0|8692212121|ADET||
266|PLATINIUM700|1|1|2|961,95|0,0000|0|0|8692212121|ADET||
267|USB KABLO|1|1|2|0,605|0,0000|0|0|8692212121|ADET||
268|CAT-SE UTP KABLO NET|1|1|2|45,98|0,0000|0|0|8692212121|ADET||
